"Area Name","Area Type","Year","Month","Seasonally Adjusted(Y/N)","Status","Labor Force","Employment","Unemployment","Unemployment Rate"
"California","State","1990","Annual","N","Final","15176300","14301800","874500","5.8"
"Los Angeles-Long Beach-Glendale MD","Metropolitan Area","1990","Annual","N","Final","4526600","4260700","265800","5.9"
"Los Angeles County","County","1990","Annual","N","Final","4526600","4260700","265800","5.9"
"Alameda County","County","1990","Annual","N","Final","678000","650600","27500","4"
"Alpine County","County","1990","Annual","N","Final","380","340","40","9.6"
"Anaheim-Santa Ana-Irvine MD","Metropolitan Area","1990","Annual","N","Final","1354300","1307000","47300","3.5"
"Orange County","County","1990","Annual","N","Final","1354300","1307000","47300","3.5"
"Bakersfield-Delano MSA","Metropolitan Area","1990","Annual","N","Final","257000","229000","28000","10.9"
"Kern County","County","1990","Annual","N","Final","257000","229000","28000","10.9"
"Amador County","County","1990","Annual","N","Final","11470","10870","590","5.2"
"Calaveras County","County","1990","Annual","N","Final","13460","12540","920","6.8"
"Chico MSA","Metropolitan Area","1990","Annual","N","Final","78900","72200","6600","8.4"
"Butte County","County","1990","Annual","N","Final","78900","72200","6600","8.4"
"Colusa County","County","1990","Annual","N","Final","8010","6870","1150","14.3"
"Contra Costa County","County","1990","Annual","N","Final","435700","418200","17500","4"
"El Centro MSA","Metropolitan Area","1990","Annual","N","Final","47400","35300","12100","25.5"
"Imperial County","County","1990","Annual","N","Final","47400","35300","12100","25.5"
"Del Norte County","County","1990","Annual","N","Final","9620","8460","1160","12"
"El Dorado County","County","1990","Annual","N","Final","63900","61000","2900","4.5"
"Fresno County","County","1990","Annual","N","Final","329000","290700","38300","11.6"
"Fresno MSA","Metropolitan Area","1990","Annual","N","Final","370600","326700","43900","11.8"
"Hanford-Corcoran MSA","Metropolitan Area","1990","Annual","N","Final","37600","33400","4200","11.2"
"Kings County","County","1990","Annual","N","Final","37600","33400","4200","11.2"
"Glenn County","County","1990","Annual","N","Final","11260","9850","1410","12.5"
"Humboldt County","County","1990","Annual","N","Final","56300","51900","4500","7.9"
"Inyo County","County","1990","Annual","N","Final","7020","6520","500","7.1"
"Lake County","County","1990","Annual","N","Final","19990","18220","1770","8.9"
"Lassen County","County","1990","Annual","N","Final","9990","9010","980","9.8"
"Madera County","County","1990","Annual","N","Final","41600","36000","5600","13.5"
"Mariposa County","County","1990","Annual","N","Final","6780","6400","380","5.7"
"Mendocino County","County","1990","Annual","N","Final","38780","35820","2960","7.6"
"Merced MSA","Metropolitan Area","1990","Annual","N","Final","77000","67100","9900","12.8"
"Merced County","County","1990","Annual","N","Final","77000","67100","9900","12.8"
"Modesto MSA","Metropolitan Area","1990","Annual","N","Final","180600","159200","21400","11.8"
"Stanislaus County","County","1990","Annual","N","Final","180600","159200","21400","11.8"
"Modoc County","County","1990","Annual","N","Final","3770","3400","360","9.6"
"Mono County","County","1990","Annual","N","Final","5730","5390","340","5.9"
"Napa MSA","Metropolitan Area","1990","Annual","N","Final","56500","54100","2300","4.1"
"Napa County","County","1990","Annual","N","Final","56500","54100","2300","4.1"
"Nevada County","County","1990","Annual","N","Final","36060","34330","1730","4.8"
"Oakland-Fremont-Berkeley MD","Metropolitan Area","1990","Annual","N","Final","1113700","1068800","44900","4"
"Oxnard-Thousand Oaks-Ventura MSA","Metropolitan Area","1990","Annual","N","Final","366900","345800","21100","5.8"
"Ventura County","County","1990","Annual","N","Final","366900","345800","21100","5.8"
"Placer County","County","1990","Annual","N","Final","89600","85800","3800","4.2"
"Plumas County","County","1990","Annual","N","Final","9480","8540","940","9.9"
"Redding MSA","Metropolitan Area","1990","Annual","N","Final","67800","61900","5800","8.6"
"Shasta County","County","1990","Annual","N","Final","67800","61900","5800","8.6"
"Riverside County","County","1990","Annual","N","Final","537100","498600","38500","7.2"
"Riverside-San Bernardino-Ontario MSA","Metropolitan Area","1990","Annual","N","Final","1172800","1098600","74200","6.3"
"Sacramento County","County","1990","Annual","N","Final","522800","498800","23900","4.6"
"Sacramento-Roseville-Folsom MSA","Metropolitan Area","1990","Annual","N","Final","750400","714700","35700","4.8"
"Salinas MSA","Metropolitan Area","1990","Annual","N","Final","172900","156200","16700","9.7"
"Monterey County","County","1990","Annual","N","Final","172900","156200","16700","9.7"
"San Benito County","County","1990","Annual","N","Final","21000","18400","2500","12.2"
"San Bernardino County","County","1990","Annual","N","Final","635800","600000","35800","5.6"
"San Diego-Chula Vista-Carlsbad MSA","Metropolitan Area","1990","Annual","N","Final","1216200","1160000","56200","4.6"
"San Diego County","County","1990","Annual","N","Final","1216200","1160000","56200","4.6"
"San Francisco County","County","1990","Annual","N","Final","409800","394300","15400","3.8"
"San Francisco-San Mateo-Redwood City MD","Metropolitan Area","1990","Annual","N","Final","780300","755200","25100","3.2"
"San Luis Obispo-Paso Robles MSA","Metropolitan Area","1990","Annual","N","Final","99900","95200","4600","4.6"
"San Luis Obispo County","County","1990","Annual","N","Final","99900","95200","4600","4.6"
"San Jose-Sunnyvale-Santa Clara MSA","Metropolitan Area","1990","Annual","N","Final","874100","837800","36300","4.2"
"San Mateo County","County","1990","Annual","N","Final","370600","360900","9700","2.6"
"San Rafael MD","Metropolitan Area","1990","Annual","N","Final","132000","128700","3300","2.5"
"Marin County","County","1990","Annual","N","Final","132000","128700","3300","2.5"
"Santa Cruz-Watsonville MSA","Metropolitan Area","1990","Annual","N","Final","135800","126000","9800","7.2"
"Santa Cruz County","County","1990","Annual","N","Final","135800","126000","9800","7.2"
"Santa Maria-Santa Barbara MSA","Metropolitan Area","1990","Annual","N","Final","192700","183300","9400","4.9"
"Santa Barbara County","County","1990","Annual","N","Final","192700","183300","9400","4.9"
"Santa Rosa-Petaluma MSA","Metropolitan Area","1990","Annual","N","Final","206500","198500","8000","3.9"
"Sonoma County","County","1990","Annual","N","Final","206500","198500","8000","3.9"
"Santa Clara County","County","1990","Annual","N","Final","853200","819400","33800","4"
"Sierra County","County","1990","Annual","N","Final","1630","1450","180","10.9"
"Stockton-Lodi MSA","Metropolitan Area","1990","Annual","N","Final","227300","204700","22500","9.9"
"San Joaquin County","County","1990","Annual","N","Final","227300","204700","22500","9.9"
"Siskiyou County","County","1990","Annual","N","Final","19460","17080","2370","12.2"
